id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_0613,SIP_0613: MOMENTUM_RO | CLENOW_MOMENTU | 5Stk | ADAPTIVE_STR,MOMENTUM_ROTATE_DYNAMIC,CLENOW_MOMENTUM,5,ADAPTIVE_STRUCTURAL,10.79,7.09,-10.66,5.2,9.97,12.42,22.6,-18.01,2.24,14.5,14.81,2.02,8.7
SIP_0141,SIP_0141: PURE_STOCKS | MULTI_LOOKBACK | 6Stk | VAN_THARP_3T,PURE_STOCKS,MULTI_LOOKBACK_BLEND,6,VAN_THARP_3TIER,10.79,4.08,-13.67,3.0,11.13,13.58,25.3,-17.65,2.6,14.5,17.24,0.43,11.2
SIP_0413,SIP_0413: TACTICAL_MA | CLENOW_MOMENTU | 5Stk | ADAPTIVE_STR,TACTICAL_MACRO_80_20,CLENOW_MOMENTUM,5,ADAPTIVE_STRUCTURAL,10.79,7.09,-10.66,5.2,9.97,12.42,22.6,-18.01,2.24,14.5,14.81,2.02,8.7
SIP_0813,SIP_0813: MULTI_ASSET | CLENOW_MOMENTU | 5Stk | ADAPTIVE_STR,MULTI_ASSET_BALANCED,CLENOW_MOMENTUM,5,ADAPTIVE_STRUCTURAL,10.79,7.09,-10.66,5.2,9.97,12.42,22.6,-18.01,2.24,14.5,14.81,2.02,8.7
SIP_0885,SIP_0885: MULTI_ASSET | MOM_HURDLE_30 | 4Stk | TIME_DECAY_M,MULTI_ASSET_BALANCED,MOM_HURDLE_30,4,TIME_DECAY_MOMENTUM,10.76,14.74,-3.01,10.6,5.48,7.93,12.2,-16.17,4.08,14.5,10.82,2.18,12.3
SIP_0485,SIP_0485: TACTICAL_MA | MOM_HURDLE_30 | 4Stk | TIME_DECAY_M,TACTICAL_MACRO_80_20,MOM_HURDLE_30,4,TIME_DECAY_MOMENTUM,10.76,14.74,-3.01,10.6,5.48,7.93,12.2,-16.17,4.08,14.5,10.82,2.18,12.3
SIP_0685,SIP_0685: MOMENTUM_RO | MOM_HURDLE_30 | 4Stk | TIME_DECAY_M,MOMENTUM_ROTATE_DYNAMIC,MOM_HURDLE_30,4,TIME_DECAY_MOMENTUM,10.76,14.74,-3.01,10.6,5.48,7.93,12.2,-16.17,4.08,14.5,10.82,2.18,12.3
SIP_0039,SIP_0039: PURE_STOCKS | CLENOW_HIGH_CO | 5Stk | DYNAMIC_ATR,PURE_STOCKS,CLENOW_HIGH_CONVICTION,5,DYNAMIC_ATR,10.72,11.17,-6.58,8.1,7.98,10.43,18.0,-13.05,7.2,14.5,11.91,2.56,6.8
SIP_0880,SIP_0880: MULTI_ASSET | MOM_HURDLE_30 | 3Stk | TIME_DECAY_M,MULTI_ASSET_BALANCED,MOM_HURDLE_30,3,TIME_DECAY_MOMENTUM,10.72,7.2,-10.55,5.3,6.87,9.32,15.4,-19.33,0.92,14.5,18.16,2.01,13.8
SIP_0680,SIP_0680: MOMENTUM_RO | MOM_HURDLE_30 | 3Stk | TIME_DECAY_M,MOMENTUM_ROTATE_DYNAMIC,MOM_HURDLE_30,3,TIME_DECAY_MOMENTUM,10.72,7.2,-10.55,5.3,6.87,9.32,15.4,-19.33,0.92,14.5,18.16,2.01,13.8
SIP_0480,SIP_0480: TACTICAL_MA | MOM_HURDLE_30 | 3Stk | TIME_DECAY_M,TACTICAL_MACRO_80_20,MOM_HURDLE_30,3,TIME_DECAY_MOMENTUM,10.72,7.2,-10.55,5.3,6.87,9.32,15.4,-19.33,0.92,14.5,18.16,2.01,13.8
SIP_0133,SIP_0133: PURE_STOCKS | MULTI_LOOKBACK | 4Stk | ADAPTIVE_STR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,4,ADAPTIVE_STRUCTURAL,10.71,4.4,-13.34,3.3,15.94,18.39,36.9,-20.29,-0.04,14.5,10.3,1.73,12.4
SIP_0800,SIP_0800: MOMENTUM_RO | SECTOR_LEAD_AL | 8Stk | TIME_DECAY_M,MOMENTUM_ROTATE_DYNAMIC,SECTOR_LEAD_ALPHA,8,TIME_DECAY_MOMENTUM,10.69,9.48,-8.27,6.9,8.8,11.25,19.9,-18.58,1.67,14.5,12.83,2.4,14.0
SIP_0539,SIP_0539: TACTICAL_MA | MULTI_LOOKBACK | 5Stk | DYNAMIC_ATR,TACTICAL_MACRO_80_20,MULTI_LOOKBACK_BLEND,5,DYNAMIC_ATR,10.69,10.22,-7.52,7.4,7.76,10.21,17.4,-19.06,1.19,14.5,13.23,2.0,12.8
SIP_0939,SIP_0939: MULTI_ASSET | MULTI_LOOKBACK | 5Stk | DYNAMIC_ATR,MULTI_ASSET_BALANCED,MULTI_LOOKBACK_BLEND,5,DYNAMIC_ATR,10.69,10.22,-7.52,7.4,7.76,10.21,17.4,-19.06,1.19,14.5,13.23,2.0,12.8
