id,name,asset_mode,filter,basket_size,exit_protocol,booster,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_01968,SIP_01968: TACTICAL_M | MOM_HURDLE_3 | 6Stk | DYNAMIC_AT | STEPUP_15_,TACTICAL_MACRO_90_10,MOM_HURDLE_35,6,DYNAMIC_ATR,STEPUP_15_DIP_95_SKIM,10.81,4.8,-12.95,3.78,10.77,13.22,24.48,-14.5,5.75,14.5,16.41,2.53,10.27
SIP_04101,SIP_04101: MOMENTUM_R | MOM_HURDLE_2 | 8Stk | VAN_THARP_ | FLAT_SIP_N,MOMENTUM_ROTATE_DYNAMIC,MOM_HURDLE_20,8,VAN_THARP_3TIER,FLAT_SIP_NO_DIP,10.81,2.81,-14.93,2.09,13.22,15.67,30.3,-19.57,0.68,14.5,16.3,0.43,5.66
SIP_04730,SIP_04730: MOMENTUM_R | MULTI_LOOKBA | 8Stk | VAN_THARP_ | STEPUP_10_,MOMENTUM_ROTATE_DYNAMIC,MULTI_LOOKBACK_BLEND,8,VAN_THARP_3TIER,STEPUP_10_LIQUID_SWEEP,10.8,7.79,-9.95,5.96,7.3,9.75,16.39,-16.09,4.16,14.5,16.9,0.39,4.47
SIP_04350,SIP_04350: MOMENTUM_R | MOM_HURDLE_3 | 6Stk | TIME_DECAY | STEPUP_10_,MOMENTUM_ROTATE_DYNAMIC,MOM_HURDLE_30,6,TIME_DECAY_MOMENTUM,STEPUP_10_LIQUID_SWEEP,10.8,8.93,-8.82,6.81,7.01,9.46,15.72,-14.56,5.69,14.5,15.77,2.35,11.01
SIP_08401,SIP_08401: ASYMMETRIC | MULTI_LOOKBA | 4Stk | VAN_THARP_ | FLAT_SIP_N,ASYMMETRIC_ALPHA_95_5,MULTI_LOOKBACK_BLEND,4,VAN_THARP_3TIER,FLAT_SIP_NO_DIP,10.8,5.11,-12.64,3.77,14.96,17.41,34.51,-21.85,-1.6,14.5,11.13,0.34,11.82
SIP_00951,SIP_00951: PURE_STOCK | MULTI_LOOKBA | 6Stk | VAN_THARP_ | FLAT_SIP_N,PURE_STOCKS,MULTI_LOOKBACK_BLEND,6,VAN_THARP_3TIER,FLAT_SIP_NO_DIP,10.8,4.08,-13.67,3.02,11.13,13.58,25.33,-17.65,2.6,14.5,17.24,0.43,11.23
SIP_01003,SIP_01003: PURE_STOCK | 52W_HIGH_PRO | 3Stk | VAN_THARP_ | STEPUP_15_,PURE_STOCKS,52W_HIGH_PROXIMITY,3,VAN_THARP_3TIER,STEPUP_15_DIP_95_SKIM,10.8,-4.66,-22.4,-3.78,15.89,18.34,36.75,-20.79,-0.54,14.5,23.18,0.34,11.19
SIP_04841,SIP_04841: MOMENTUM_R | 52W_HIGH_PRO | 6Stk | DYNAMIC_AT | FLAT_SIP_N,MOMENTUM_ROTATE_DYNAMIC,52W_HIGH_PROXIMITY,6,DYNAMIC_ATR,FLAT_SIP_NO_DIP,10.8,12.74,-5.0,9.21,2.71,5.16,5.97,-14.39,5.86,14.5,16.95,2.87,11.45
SIP_01588,SIP_01588: TACTICAL_M | MOM_HURDLE_2 | 6Stk | ADAPTIVE_S | STEPUP_15_,TACTICAL_MACRO_90_10,MOM_HURDLE_20,6,ADAPTIVE_STRUCTURAL,STEPUP_15_DIP_95_SKIM,10.8,1.79,-15.95,1.43,13.48,15.93,30.92,-17.89,2.36,14.5,17.07,2.02,9.86
SIP_03759,SIP_03759: MOMENTUM_R | CLENOW_MOMEN | 3Stk | SMART_STEP | STEPUP_20_,MOMENTUM_ROTATE_DYNAMIC,CLENOW_MOMENTUM,3,SMART_STEPLADDER,STEPUP_20_PYRAMID,10.8,9.14,-8.61,7.26,12.87,15.32,29.46,-19.62,0.63,14.5,7.62,1.47,12.14
